Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955000,1303000,1350000,1694000,2097000,2616000,2979000,3716000,3404000,3443000,4120000,3959000,3928000,4146000,4504000,4852000,5186000,5415000,,
Andorra,AND,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18904000,,
Argentina,ARG,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3815000,4296000,4517000,4592000,4786000,4953000,4762000,3008000,3088000,3904000,3894000,3892000,4167000,4614000,4981000,5307000,6686000,7266000,6746000,6517000,7807000,10417000,12213000,11130000,,
Armenia,ARM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111000,110000,131000,169000,221000,269000,329000,468000,516000,526000,563000,715000,965000,1083000,1198000,1187000,1263000,1482000,1623000,,
American Samoa,ASM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519000,2732000,2933000,3161000,3210000,3498000,3443000,3461000,3388000,4369000,4756000,4941000,5462000,5808000,6276000,7103000,7788000,8212000,9052000,9480000,9810000,10390000,10932000,11403000,,
Austria,AUT,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7528000,8350000,8266000,8384000,8371000,8206000,10042000,9876000,9677000,10121000,9882000,9874000,10960000,10671000,10994000,10628000,11534000,11491000,11883000,,
Azerbaijan,AZE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887000,890000,791000,1048000,1145000,1820000,2308000,2829000,3307000,3319000,3256000,3592000,3447000,3919000,,
Burundi,BDI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000,35000,10000,16000,27000,28000,35000,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5645000,7548000,7776000,6410000,7932000,6570000,6773000,7268000,8783000,9327000,7852000,8371000,8887000,8775000,8801000,9727000,9576000,10803000,10991000,10835000,13372000,12142000,13098000,,
Benin,BEN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830000,911000,866000,992000,1103000,1128000,1075000,1158000,1414000,1565000,1767000,1819000,2327000,875000,2254000,1913000,2127000,2273000,1460000,,,,,,,
Bulgaria,BGR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3524000,3006000,3059000,2592000,2376000,2337000,2730000,3188000,3403000,3882000,4235000,4180000,4515000,5727000,4993000,3676000,3803000,3758000,3930000,4158000,4632000,5392000,6228000,6699000,,
Bahrain,BHR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4741000,,3136000,2868000,,
"Bahamas, The",BHS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626000,703000,969000,901000,934000,1289000,1387000,1436000,1108000,515000,572000,525000,517000,380000,316000,415000,320000,493000,708000,741000,671000,467000,706000,836000,,
Belize,BLZ,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140000,145000,141000,156000,161000,170000,181000,192000,,,,,,,,,,,,
Bolivia,BOL,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249000,269000,285000,299000,253000,201000,222000,217000,304000,346000,386000,472000,526000,589000,518000,604000,775000,788000,837000,932000,965000,940000,997000,1060000,,
Brazil,BRA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600000,3797000,4014000,4171000,2863000,3228000,2674000,2338000,3229000,2968000,3364000,3886000,4662000,5238000,4920000,6457000,7807000,8497000,8866000,9617000,9478000,8872000,10610000,10628000,,
Barbados,BRB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,6000,7000,8000,11000,,,,38000,,,,,,,,,,
Canada,CAN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18206000,18973000,19111000,17648000,18368000,19182000,18359000,17705000,17739000,19595000,21099000,22731000,25163000,27034000,26204000,28680000,30450000,32276000,32971000,33518000,32267000,31278000,33060000,26033000,,
Central Europe and the Baltics,CEB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42399564.3595797,44138719.9418855,49295910.3723903,54911325.6022526,49518000,47106000,44650000,46603000,47881000,50383000,53462000,58043000,65877000,71717080.4586579,,
Switzerland,CHE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11148000,12061000,12515000,11891000,11815000,12240000,11554000,11427000,8774000,,,,,11147000,10453000,10011000,10466000,12098000,12403000,12518000,13601000,13857000,15318000,15285000,,
Channel Islands,CHI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319000,1180000,1293000,1341000,1504000,1725000,1887000,2047000,1899500,1909300,2218700,2637600,2837100,2999000,3169000,3359000,3553000,3620000,3825000,,
China,CHN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4520000,5061000,5324000,8426000,9232000,10473000,12133000,16602000,20222000,28853000,31026000,34524000,40954000,45844000,47656000,57386000,70250000,83182000,98185000,116593000,127860000,135130000,143035000,149720000,,
Cote d'Ivoire,CIV,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,50000,,,,,,,,,,,,,,,,356000,424000,,,,
"Congo, Rep.",COG,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161000,180000,,,,,,,
Colombia,COL,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057000,929000,1071000,1093000,1098000,1235000,1381000,1277000,1177000,1405000,1553000,,2028000,2042000,2122000,2342000,2522000,3169000,3605000,3911000,3862000,3795000,4017000,4368000,,
Comoros,COM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273000,283000,288000,330000,353000,381000,361000,364000,373000,425000,487000,485000,577000,528000,579000,662000,717000,773000,790000,798000,919000,1036000,1150000,1079000,,
Caribbean small states,CSS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72000,72000,83000,94000,97000,139000,121000,111000,113000,124000,162000,199000,194000,202000,206000,251000,253000,213000,286000,355000,580000,894000,,,,
Curacao,CUW,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360000,365000,422000,484000,540000,588000,684000,744000,737000,859000,914000,932000,1081000,1210000,1172000,1246000,1209000,1194000,1115000,1209000,1119000,1268000,1407000,1446000,,
Czech Republic,CZE,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7213000,6643000,6963000,6393000,9048000,9665000,8904000,8673000,5279000,5419000,5781000,5651000,5856000,6027000,6775000,7390000,,
Germany,DEU,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55800000,69200000,78100000,80507000,81551000,80393000,85345000,84859000,86622000,81801000,82099000,86201000,85547000,85872000,84692000,82729000,87459000,83008000,83737000,90966000,92402000,108542000,,
Djibouti,DJI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5035000,4693000,4788000,4744000,5011000,4946000,4935000,5564000,4630000,5469000,6129000,6564000,6347000,7037000,7726000,7846000,7843000,6977000,8528000,8991000,9651000,8087000,7475000,,
Dominican Republic,DOM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168000,358000,355000,354000,363000,360000,331000,332000,321000,368000,419000,420000,443000,413000,415000,401000,408000,418000,392000,427000,478000,500000,522000,514000,,
Algeria,DZA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090000,874000,827000,879000,903000,1006000,1190000,1257000,1254000,1417000,1513000,1349000,1499000,1539000,1677000,1757000,1715000,1911000,2136000,2839000,3638000,4530000,5058000,5610000,,
East Asia & Pacific (excluding high income),EAP,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18978033.4116004,21473003.2132299,23276468.4010533,24734175.9591835,25681274.92045,29541451.7770852,34485593.9107564,34050330.5500065,37797592.4287018,43145063.2696132,46844045.8468043,53146996.2692789,62030759.5380185,67956647.6549734,69671105.7569529,84147146.8392448,100206548.295079,117050893.93357,136747229.89302,159718821.5268,175039221.734998,186148698.395141,197464207.576886,207838079.886313,,
Early-demographic dividend,EAR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73895235.0924464,75951524.3896707,74585806.7237312,71646416.5269574,80990634.5564256,88664455.4902036,90749745.5320945,97078040.5412668,99041395.1349777,103028196.136664,128036406.436745,130375243.605835,140930145.233699,152426304.206898,162887507.393056,176496074.963217,190765900.280721,200585423.714705,201926668.189624,,
East Asia & Pacific,EAS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111029513.515529,120207382.734714,135134367.291719,143222409.066174,147230259.356934,144940043.624985,168940181.025262,179444037.892673,192471295.525319,209702886.266301,214634066.601668,213311310.795492,244826606.308854,263374393.64643,285484499.92911,306724570.77749,331757717.924814,357381671.573594,378524425.877433,397445243.8793,415030422.125314,,
Europe & Central Asia (excluding high income),ECA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46130914.040679,33690159.2792604,37775894.2038884,34674478.3191174,36484218.9231548,53414389.5802061,56201195.5744273,60374283.3846789,61656178.4753328,71474949.3824697,78896813.4806683,82232651.4455187,87102974.8742003,90331348.4273908,88561253.9477052,96940728.2959772,110959136.377965,120482864.94738,135988014.988116,126071342.621766,114469044.023196,113853031.889799,130742009.544546,139742963.532522,,
Europe & Central Asia,ECS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280044601.550301,301805695.152606,310916317.618192,347216125.204383,351193192.836373,363283786.658706,372849328.613506,390454222.205168,419344713.186025,417532870.070132,444010784.271652,458434316.351313,449150235.093786,461901843.776923,479973534.50038,492712896.899849,512944929.767985,511096616.806892,515940371.136427,542882712.208304,583015436.397081,618355680.365592,,
Ecuador,ECU,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271000,275000,321000,330000,386000,520000,562000,627000,613000,603000,664000,733000,801000,815000,814000,899000,1022000,1022000,1138000,1096000,1221000,1366000,1347000,1402000,,
"Egypt, Arab Rep.",EGY,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716000,4618000,4863000,5678000,5782000,6180000,,,,,,
Euro area,EMU,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143481790.583251,162155177.759433,169388008.260611,181983321.045835,182851307.782088,186781475.880339,194666039.861956,198898807.556807,211023617.866693,207757008.24893,219576937.395573,223723333.819306,223397802.333304,225326466.96377,229408875.929971,227005272.471874,229732709.63672,231120029.067447,235234785.66302,250943715.518787,265399748.166775,288060184.169988,,
Eritrea,ERI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3648000,4224000,3980000,4794000,3519000,4100000,4139000,3871000,4094000,5121000,10464000,10678000,11276000,11229000,12017000,12379000,13347000,12422000,11246000,11783000,14407000,15405000,17031000,19116000,,
Estonia,EST,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764000,1547000,1616000,1659000,1780000,1800000,1658000,1849000,2075000,,,438000,677000,692000,752000,955000,1054000,1147000,1166000,1426000,1250000,1339000,1279000,2069000,,
Ethiopia,ETH,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,133000,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184642647.045516,205850112.775054,211487799.156686,225063703.926789,227084932.650446,233578959.704821,243685103.323104,248964284.680576,265512837.25768,260992674.917073,277980476.024852,287821285.336341,281945846.442623,283313590.541377,286071618.342012,287321541.788065,291336645.305267,296408110.970045,304161612.12797,325816565.368932,346751342.412659,374465067.335391,,
Fragile and conflict affected situations,FCS,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5147000,4918000,5233000,4743000,5314000,5914000,5824000,5857000,5585000,5798000,5902000,5756000,5749000,5854000,5832000,6633000,7274000,9055000,8562000,8731000,8904000,9125000,9330000,9450000,,
Fiji,FJI,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68000,72000,74000,78000,89000,83000,85000,99000,104000,94000,109000,121000,120000,124000,125000,128000,132000,132000,,,,156000,169000,174000,,
France,FRA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18686000,18151000,17115000,18077000,16709000,19886000,19265000,18315000,18576000,21131000,22480000,22240000,28103000,25506000,25140000,25041000,26155000,25317000,26062000,27919000,26648000,26483000,29055000,26914000,,
Faroe Islands,FRO,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203000,187000,168000,189000,219000,236000,,,,,,,,,,,,,,,,,
United Kingdom,GBR,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53759000,54946000,54604000,56088000,58364000,64165000,69375000,71356000,70386000,,
Georgia,GEO,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228000,219000,355000,433000,373000,315000,306000,317000,,466000,857000,1346000,1473000,1872000,1980000,2086000,2237000,2734000,3220000,3106000,3136000,3400000,3851000,3698000,,
Ghana,GHA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387000,307000,,,,,,,,,,,,,,
Guinea-Bissau,GNB,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3765000,3835000,3799000,4941000,4681000,4594000,5802000,6291000,7235000,7685000,7961000,,
